start,end,packet_count,byte_count,duration_s
1787250480.766786,1787250480.774616,10,972,0.007829904556274414
1787250526.222802,1787250557.986253,83918,109181368,31.763451099395752
1787250564.193518,1787250564.484632,5,356,0.29111409187316895
1787250767.060337,1787250767.119946,3,196,0.05960893630981445
1787250907.01217,1787250945.821356,84790,108414905,38.80918598175049
1787250946.438197,1787250960.745181,26979,33082455,14.306984186172485
1787250962.934592,1787250967.296884,21163,29199841,4.362292051315308
1787250968.078933,1787250968.832605,3244,4488076,0.7536718845367432
1787250970.50458,1787250992.183152,56849,72872887,21.678571939468384
1787250993.156466,1787251027.780768,75378,95076377,34.62430191040039
1787251029.01088,1787251036.02467,16115,20775663,7.013789892196655
1787251036.886972,1787251036.934227,3,222,0.04725503921508789
1787251039.52322,1787251045.793537,28680,37261606,6.27031683921814
1787251241.924933,1787251242.213416,5,403,0.2884831428527832
1787251255.754447,1787251255.879188,3,196,0.1247410774230957
1787251407.085129,1787251422.586684,49018,64631474,15.5015549659729
1787251424.07743,1787251453.218798,33468,38842108,29.14136791229248
