experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:27:04.721993+00:00,0.5004070510040037,0,server,ubuntu,500,psutil,12915193995,26839559813,0,0,13.0,11423.43359375,35.8,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:05.311295+00:00,1.0897103610041086,1,server,ubuntu,500,psutil,12915194089,26839559879,94,66,14.2,11552.08203125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:05.817795+00:00,1.5962084750062786,2,server,ubuntu,500,psutil,12915198467,26839566122,4378,6243,2.0,11566.61328125,36.3,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:06.318330+00:00,2.0967436770151835,3,server,ubuntu,500,psutil,12915202202,26839571142,3735,5020,1.8,11565.8828125,36.3,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:06.818733+00:00,2.597148061002372,4,server,ubuntu,500,psutil,12915202296,26839571208,94,66,1.5,11565.8828125,36.3,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:07.319197+00:00,3.0976122099964414,5,server,ubuntu,500,psutil,12915202484,26839571340,188,132,1.5,11552.734375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:07.819862+00:00,3.5982772190182004,6,server,ubuntu,500,psutil,12915202484,26839571340,0,0,1.5,11551.9921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:08.320362+00:00,4.098776814003941,7,server,ubuntu,500,psutil,12915202578,26839571406,94,66,1.5,11550.015625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:08.820768+00:00,4.599183204991277,8,server,ubuntu,500,psutil,12915202700,26839571562,122,156,1.5,11550.015625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:09.321492+00:00,5.099906716000987,9,server,ubuntu,500,psutil,12915202794,26839571628,94,66,1.0,11547.85546875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:09.822220+00:00,5.6006356610159855,10,server,ubuntu,500,psutil,12915204069,26839571694,1275,66,1.3,11547.85546875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:10.322616+00:00,6.101030677993549,11,server,ubuntu,500,psutil,12915204629,26839572737,560,1043,2.2,11546.27734375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:10.823352+00:00,6.601767407002626,12,server,ubuntu,500,psutil,12915204629,26839573415,0,678,1.0,11546.27734375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:11.323731+00:00,7.102145587006817,13,server,ubuntu,500,psutil,12915204943,26839573575,314,160,6.8,11544.625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:11.824226+00:00,7.602640685014194,14,server,ubuntu,500,psutil,12915204943,26839573575,0,0,1.3,11544.37890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:12.324965+00:00,8.10338041500654,15,server,ubuntu,500,psutil,12915205058,26839573656,115,81,1.5,11544.3828125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:12.825706+00:00,8.604121637006756,16,server,ubuntu,500,psutil,12915205152,26839573722,94,66,1.0,11544.62890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:13.326432+00:00,9.104847728012828,17,server,ubuntu,500,psutil,12915205372,26839573816,220,94,1.8,11544.62890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:13.826994+00:00,9.60540935001336,18,server,ubuntu,500,psutil,12915206100,26839573882,728,66,1.3,11544.62890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:14.327577+00:00,10.105992191995028,19,server,ubuntu,500,psutil,12915206100,26839573882,0,0,1.0,11544.37890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:14.828290+00:00,10.606704602017999,20,server,ubuntu,500,psutil,12915206194,26839573948,94,66,1.0,11544.37890625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:15.329072+00:00,11.107487021014094,21,server,ubuntu,500,psutil,12915206194,26839573948,0,0,1.5,11544.3671875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:15.829825+00:00,11.608240147004835,22,server,ubuntu,500,psutil,12915206714,26839574199,520,251,1.3,11544.3671875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:16.330247+00:00,12.10866180100129,23,server,ubuntu,500,psutil,12915206714,26839574199,0,0,1.3,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:16.830726+00:00,12.609141340013593,24,server,ubuntu,500,psutil,12915206808,26839574265,94,66,1.3,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:17.331163+00:00,13.109577852999792,25,server,ubuntu,500,psutil,12915206808,26839574265,0,0,1.3,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:17.831680+00:00,13.610095364012523,26,server,ubuntu,500,psutil,12915206902,26839574331,94,66,1.5,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:18.332150+00:00,14.110565751005197,27,server,ubuntu,500,psutil,12915207325,26839574568,423,237,1.5,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:18.832620+00:00,14.611034567991737,28,server,ubuntu,500,psutil,12915207808,26839575091,483,523,1.5,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:19.333211+00:00,15.111626276018796,29,server,ubuntu,500,psutil,12915207808,26839575091,0,0,1.3,11544.44921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:19.833654+00:00,15.612068998016184,30,server,ubuntu,500,psutil,12915207902,26839575157,94,66,1.5,11544.68359375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:20.334115+00:00,16.112530990008963,31,server,ubuntu,500,psutil,12915207996,26839575262,94,105,1.5,11544.68359375,36.2,,,,,,,,,
